App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Last Updated
BP Fitness Lead Scanner,EVENTS,NaN,0,6,1,Paid,$109.99 ,Everyone,23-Aug-17
Dz kayas,FINANCE,NaN,0,14,1,Paid,$28.99 ,Everyone,12-Jul-18
amm dz,FINANCE,NaN,0,14,1,Paid,$5.99 ,Everyone,08-Jul-18
CE Genius Nurses Edition,MEDICAL,NaN,0,5,1,Paid,$3.99 ,Everyone,01-Jun-18
AQ Math Facts,FAMILY,NaN,1,16,1,Paid,$2.99 ,Everyone,17-May-17
Visualmed,MEDICAL,NaN,0,3,1,Paid,$2.99 ,Everyone,01-Aug-18
Learn CW,FAMILY,NaN,0,21,1,Paid,$2.49 ,Everyone,06-Apr-18
Ra Ga Ba,GAME,5,2,20,1,Paid,$1.49 ,Everyone,08-Feb-17
db Meter - sound level meter with data logging,TOOLS,NaN,0,15,1,Paid,$1.49 ,Everyone,15-Mar-18
Mu.F.O.,GAME,5,2,16,1,Paid,$0.99 ,Everyone,03-Mar-17
Be the Expert in Phlebotomy - Professional Nursing,MEDICAL,NaN,0,5,1,Paid,$0.99 ,Everyone,24-Jul-18
Bi-Tank Ads Free,GAME,NaN,0,Varies with device,1,Paid,$0.99 ,Everyone,31-Jul-17
D+H Reaction Wall,GAME,NaN,0,Varies with device,1,Paid,$0.99 ,Everyone,24-Jul-16
Michael's AG Sound Board,FAMILY,NaN,0,2,1,Paid,$0.99 ,Everyone,12-Dec-17
YAKALA AY,GAME,NaN,0,14,1,Paid,$0.99 ,Everyone,07-Jul-18
KBA-EZ Health Guide,MEDICAL,5,4,25,1,Free,0,Everyone,02-Aug-18
RMEduS - 음성인식을 활용한 R 프로그래밍 실습 시스템,FAMILY,NaN,4,64,1,Free,0,Everyone,17-Jul-18
EJ Trívia Game,FAMILY,NaN,1,19,1,Free,0,Everyone,19-Jul-18
FD CANNECT,TOOLS,NaN,1,75,1,Free,0,Everyone,31-Jul-18
FP Boss,FINANCE,NaN,1,5,1,Free,0,Everyone,27-Jul-18
FQ - Football Quiz,SPORTS,NaN,1,9,1,Free,0,Everyone,29-May-18
Amleen Ey,SOCIAL,NaN,0,19,1,Free,0,Everyone,24-Jul-17
Aproveita DF,LIFESTYLE,NaN,0,3,1,Free,0,Everyone,02-Aug-18
Ay Peruk,BUSINESS,NaN,0,3,1,Free,0,Everyone,31-Oct-17
BA SALES,COMMUNICATION,NaN,0,2,1,Free,0,Everyone,31-Jan-18
BV Productions,BUSINESS,NaN,0,2,1,Free,0,Everyone,25-Oct-16
Cathy AH,TOOLS,NaN,0,20,1,Free,0,Everyone,16-Jul-18
CE AR LOG,LIFESTYLE,NaN,0,23,1,Free,0,Everyone,11-Jul-18
CQ Electrical Group,PRODUCTIVITY,NaN,0,14,1,Free,0,Everyone,19-Jul-18
Custos F.O.,BUSINESS,NaN,0,9,1,Free,0,Everyone,20-Jun-18
DN Snacks,BUSINESS,NaN,0,7,1,Free,0,Everyone,09-Apr-18
DQ Akses,TOOLS,NaN,0,2,1,Free,0,Everyone,06-Jul-18
DT Freight,PRODUCTIVITY,NaN,0,54,1,Free,0,Everyone,29-Nov-17
DZ Register,PRODUCTIVITY,NaN,0,18,1,Free,0,Everyone,31-Jul-18
EB Experience,LIFESTYLE,NaN,0,2,1,Free,0,Everyone,19-Oct-17
EC Sampler,PRODUCTIVITY,NaN,0,30,1,Free,0,Everyone,31-Jul-18
EF First,FAMILY,NaN,0,2,1,Free,0,Everyone,09-Feb-18
FH Wallet,FINANCE,NaN,0,10,1,Free,0,Everyone,26-Jul-18
FK Bregalnica Štip,SPORTS,NaN,0,26,1,Free,0,Everyone,24-Feb-18
FK Sileks,SPORTS,NaN,0,26,1,Free,0,Everyone,18-Mar-18
Healthy Relationships Guide,DATING,NaN,0,8,1,Free,0,Everyone,31-Jul-18
Kay AH GA,MEDICAL,NaN,0,29,1,Free,0,Everyone,15-Feb-18
Kenny e o Cupcake,FAMILY,NaN,0,6,1,Free,0,Everyone,19-Jul-18
mySharpBranded CI Test,TOOLS,NaN,0,89,1,Free,0,Everyone,04-Oct-17
MyWoundDoctor - Provider,MEDICAL,NaN,0,3,1,Free,0,Everyone,27-Jul-18
PAY DT,BUSINESS,NaN,0,5,1,Free,0,Everyone,06-Feb-18
WAH 247,MEDICAL,NaN,0,29,1,Free,0,Everyone,20-Jul-18
Ako ay may lobo Pinoy Kid Song Offline,FAMILY,NaN,0,9,1,Free,0,Mature 17+,30-Jul-18
F-O-Meter,FAMILY,NaN,0,2,1,Free,0,Mature 17+,02-Aug-18
PlusOne,DATING,NaN,0,10,1,Free,0,Mature 17+,17-Jul-18
BH Connect,SOCIAL,NaN,0,32,1,Free,0,Teen,22-Mar-18
Dr D K Olukoya,LIFESTYLE,NaN,0,3,1,Free,0,Teen,25-Jul-18
Norwegian For Kids & Babies F,FAMILY,NaN,0,14,5,Paid,$39.99 ,Everyone,24-Sep-15
USB BT Wi-Fi Color Terminal Modem,TOOLS,NaN,0,7,5,Paid,$8.99 ,Everyone,09-Feb-18
Alif Ba Ta Bullseye,FAMILY,NaN,1,16,5,Paid,$1.99 ,Everyone,30-May-16
Dive-Store.ch,SPORTS,NaN,0,6,5,Paid,$1.99 ,Everyone,25-Jul-18
Bk Bee Sales Manager,BUSINESS,NaN,0,2,5,Paid,$0.99 ,Everyone,16-Dec-17
CI Attendance,PRODUCTIVITY,NaN,0,2,5,Paid,$0.99 ,Everyone,17-Aug-13
DM Die Roller 9000,TOOLS,NaN,0,3,5,Paid,$0.99 ,Everyone,14-May-18
Brick Breaker BR,GAME,5,7,19,5,Free,0,Everyone,23-Jul-18
CB Heroes,SOCIAL,5,5,2,5,Free,0,Everyone,04-Aug-18
Tablet Reminder,MEDICAL,5,4,2,5,Free,0,Everyone,03-Aug-18
FK Atlantas,SPORTS,1.5,2,26,5,Free,0,Everyone,21-Feb-18
Clinic Doctor EHr,MEDICAL,5,2,7,5,Free,0,Everyone,03-Aug-18
CQ ESPM,BUSINESS,5,2,3,5,Free,0,Everyone,03-Jun-17
Ej-buy,BUSINESS,NaN,2,4,5,Free,0,Everyone,02-Aug-18
ProconLegis-DF,TOOLS,NaN,2,14,5,Free,0,Everyone,31-Jul-18
SK Bosnia Online EU Teplice,SPORTS,NaN,2,10,5,Free,0,Everyone,21-Aug-17
